mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
518585,124,106,525,0.264,41,33.06,18,14.52,0.371,0.519,0.89,0.255,234,79,33.76,15.05,82,15.62,30.67,22.76,24.7
593576,126,103,525,0.214,33,26.19,20,15.87,0.341,0.282,0.623,0.06799999999999998,251,67,26.69,12.76,73,13.9,26.67,29.97,21.43
605280,135,120,524,0.258,25,18.52,12,8.89,0.328,0.333,0.661,0.07500000000000001,235,58,24.68,11.07,94,17.94,29.01,27.78,15.82
669461,138,133,523,0.233,31,22.46,4,2.9,0.261,0.323,0.5840000000000001,0.09,265,76,28.68,14.53,83,15.87,30.4,25.22,19.38
605154,112,98,520,0.235,31,27.68,12,10.71,0.33,0.531,0.861,0.29600000000000004,240,57,23.75,10.96,94,18.08,29.04,25.1,14.76
519151,121,108,520,0.25,31,25.62,10,8.26,0.317,0.343,0.66,0.09300000000000003,240,60,25.0,11.54,86,16.54,28.08,28.83,17.71
543859,123,107,519,0.243,26,21.14,13,10.57,0.317,0.393,0.71,0.15000000000000002,245,48,19.59,9.25,67,12.91,22.16,28.32,14.36
671212,123,97,516,0.258,28,22.76,24,19.51,0.415,0.392,0.8069999999999999,0.134,212,59,27.83,11.43,76,14.73,26.16,18.22,20.0
571656,121,103,513,0.233,26,21.49,17,14.05,0.347,0.359,0.706,0.12599999999999997,229,54,23.58,10.53,79,15.4,25.93,29.37,17.11
676106,127,111,511,0.252,16,12.6,13,10.24,0.339,0.351,0.69,0.09899999999999998,250,55,22.0,10.76,76,14.87,25.64,24.9,10.32
