mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
519008,6,5,32,0.6,1,16.67,0,0.0,0.667,0.8,1.467,0.20000000000000007,16,5,31.25,15.62,4,12.5,28.12,42.86,6.25
663574,9,7,32,0.429,0,0.0,2,22.22,0.556,0.571,1.127,0.14199999999999996,11,1,9.09,3.12,6,18.75,21.88,23.53,0.0
595897,9,5,32,0.2,0,0.0,3,33.33,0.444,0.4,0.8440000000000001,0.2,15,4,26.67,12.5,2,6.25,18.75,21.05,0.0
608348,10,10,32,0.5,1,10.0,0,0.0,0.5,0.8,1.3,0.30000000000000004,18,0,0.0,0.0,4,12.5,12.5,41.18,7.69
657697,10,9,32,0.222,2,20.0,0,0.0,0.3,0.333,0.633,0.11100000000000002,16,4,25.0,12.5,6,18.75,31.25,28.57,18.18
656793,9,9,31,0.111,3,33.33,0,0.0,0.111,0.444,0.555,0.333,18,7,38.89,22.58,3,9.68,32.26,50.0,42.86
622569,8,5,31,0.4,0,0.0,3,37.5,0.625,0.4,1.025,0.0,8,1,12.5,3.23,4,12.9,16.13,9.52,0.0
676961,6,5,31,0.0,5,83.33,1,16.67,0.167,0.0,0.167,0.0,15,7,46.67,22.58,4,12.9,35.48,18.75,41.67
665019,10,7,31,0.429,0,0.0,3,30.0,0.6,0.429,1.029,0.0,9,0,0.0,0.0,5,16.13,16.13,20.0,0.0
571466,13,13,30,0.462,0,0.0,0,0.0,0.462,0.462,0.924,0.0,15,1,6.67,3.33,5,16.67,20.0,33.33,0.0
673858,7,6,30,0.333,0,0.0,1,14.29,0.429,0.5,0.929,0.16699999999999998,13,2,15.38,6.67,5,16.67,23.33,21.43,0.0
678226,8,7,30,0.714,0,0.0,1,12.5,0.75,0.714,1.464,0.0,18,3,16.67,10.0,1,3.33,13.33,47.37,0.0
606625,7,4,29,0.5,1,14.29,3,42.86,0.714,1.25,1.964,0.75,9,4,44.44,13.79,5,17.24,31.03,22.73,11.11
670871,6,6,29,0.167,3,50.0,0,0.0,0.167,0.333,0.5,0.166,12,4,33.33,13.79,5,17.24,31.03,23.08,27.27
592473,7,5,28,0.2,2,28.57,1,14.29,0.429,0.2,0.629,0.0,10,3,30.0,10.71,6,21.43,32.14,15.79,18.18
645444,6,6,28,0.167,0,0.0,0,0.0,0.167,0.333,0.5,0.166,13,1,7.69,3.57,5,17.86,21.43,8.33,0.0
672860,6,4,28,0.0,2,33.33,2,33.33,0.333,0.0,0.333,0.0,7,4,57.14,14.29,6,21.43,35.71,12.5,28.57
689690,6,6,27,0.0,2,33.33,0,0.0,0.0,0.0,0.0,0.0,14,4,28.57,14.81,4,14.81,29.63,42.86,20.0
