Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
,,,1,0.39,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,518397
SL,Slider,BR,73,38.83,29,29,6,20.69,0,0.0,49,9,18.37,12.33,4,5.48,17.81,44.44,62.9,15.38,0.379,0.379,0.621,1.0,0.242,518489
FF,4-Seam Fastball,FB,64,34.04,15,12,2,13.33,2,13.33,41,9,21.95,14.06,10,15.62,29.69,33.33,29.03,11.11,0.25,0.333,0.25,0.583,0.0,518489
FC,Cutter,FB,49,26.06,12,12,0,0.0,0,0.0,28,1,3.57,2.04,11,22.45,24.49,33.33,6.45,0.0,0.167,0.167,0.25,0.417,0.0829999999999999,518489
SI,Sinker,FB,1,0.53,1,1,1,100.0,0,0.0,1,1,100.0,100.0,0,0.0,100.0,,1.61,100.0,0.0,0.0,0.0,0.0,0.0,518489
,,,1,0.53,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,518489
FS,Split-Finger,OS,224,42.67,59,52,32,54.24,7,11.86,105,54,51.43,24.11,17,7.59,31.7,28.26,72.29,26.67,0.135,0.237,0.192,0.429,0.0569999999999999,518585
FF,4-Seam Fastball,FB,172,32.76,34,31,8,23.53,3,8.82,66,10,15.15,5.81,40,23.26,29.07,13.58,20.48,23.53,0.387,0.441,0.645,1.086,0.258,518585
FC,Cutter,FB,123,23.43,29,22,1,3.45,7,24.14,62,15,24.19,12.2,25,20.33,32.52,22.92,7.23,8.33,0.409,0.552,1.136,1.688,0.7269999999999999,518585
,,,4,0.76,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,518585
SI,Sinker,FB,1,0.19,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,518585
SL,Slider,BR,1,0.19,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,518585
FF,4-Seam Fastball,FB,133,46.02,35,25,4,11.43,7,20.0,59,10,16.95,7.52,25,18.8,26.32,23.81,38.46,11.43,0.24,0.412,0.4,0.812,0.16,518617
ST,Sweeper,BR,99,34.26,21,17,10,47.62,3,14.29,38,17,44.74,17.17,12,12.12,29.29,27.94,50.55,21.74,0.059,0.238,0.059,0.297,0.0,518617
SI,Sinker,FB,57,19.72,11,9,1,9.09,1,9.09,20,1,5.0,1.75,16,28.07,29.82,20.83,10.99,10.0,0.111,0.273,0.111,0.384,0.0,518617
CH,Changeup,OS,171,29.33,57,55,9,15.79,2,3.51,87,25,28.74,14.62,14,8.19,22.81,37.07,28.36,23.68,0.127,0.158,0.127,0.285,0.0,518876
FC,Cutter,FB,149,25.56,39,29,6,15.38,9,23.08,60,4,6.67,2.68,30,20.13,22.82,20.51,26.12,17.14,0.31,0.462,0.655,1.117,0.345,518876
FF,4-Seam Fastball,FB,138,23.67,30,28,3,10.0,1,3.33,49,5,10.2,3.62,35,25.36,28.99,9.52,17.16,13.04,0.357,0.379,0.714,1.093,0.357,518876
CU,Curveball,BR,61,10.46,11,10,0,0.0,0,0.0,25,3,12.0,4.92,17,27.87,32.79,32.14,9.7,0.0,0.3,0.3,0.6,0.8999999999999999,0.3,518876
SI,Sinker,FB,58,9.95,22,18,5,22.73,3,13.64,26,4,15.38,6.9,12,20.69,27.59,35.71,16.42,22.73,0.222,0.364,0.389,0.753,0.167,518876
SL,Slider,BR,5,0.86,2,1,0,0.0,1,50.0,2,0,0.0,0.0,0,0.0,0.0,25.0,2.24,0.0,0.0,0.5,0.0,0.5,0.0,518876
,,,1,0.17,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,518876
FF,4-Seam Fastball,FB,318,64.77,84,67,31,36.9,15,17.86,154,45,29.22,14.15,60,18.87,33.02,25.71,75.5,27.19,0.194,0.341,0.493,0.8340000000000001,0.299,518886
KC,Knuckle Curve,BR,155,31.57,30,28,6,20.0,0,0.0,50,15,30.0,9.68,31,20.0,29.68,22.68,17.88,22.22,0.214,0.233,0.214,0.447,0.0,518886
